alpha,beta,th_factor,method,value,F1,precision,recall,TP,TN,FP,FN
0.20000000000000007,0.7999999999999999,1.5,IQR,0.18324405795814563,0.5743970315398886,0.5171492204899777,0.6458970792767733,4644,46392,4336,2546
0.20000000000000007,0.7999999999999999,1.5,MAD,0.13237073863027976,0.5815494947299793,0.47717546362339514,0.7443671766342141,5352,44864,5864,1838
0.20000000000000007,0.7999999999999999,1.5,STD,0.20995157083525784,0.5707377638371561,0.5382719092814002,0.6073713490959666,4367,46982,3746,2823
0.20000000000000007,0.7999999999999999,2,IQR,0.20996806401364398,0.5718578521034754,0.5391722099039172,0.6087621696801113,4377,46987,3741,2813
0.20000000000000007,0.7999999999999999,2,MAD,0.15215349029464065,0.5857731015553522,0.4973781316760536,0.7123783031988874,5122,45552,5176,2068
0.20000000000000007,0.7999999999999999,2,STD,0.2940377853979754,0.5354639330670083,0.5844989303932862,0.49401947148817804,3552,48203,2525,3638
0.10000000000000009,0.8999999999999999,0.5,IQR,0.06504594964498983,0.5783353074189728,0.47180252986647925,0.747009735744089,5371,44715,6013,1819
0.10000000000000009,0.8999999999999999,0.5,MAD,0.046724501172097865,0.5105771741969183,0.37157881398884945,0.8157162726008345,5865,40809,9919,1325
0.10000000000000009,0.8999999999999999,0.5,STD,0.06839425510388487,0.5846946606731718,0.48253709735794426,0.7417246175243394,5333,45009,5719,1857
0.10000000000000009,0.8999999999999999,1,IQR,0.07836654148275043,0.5842553437988762,0.5006452893874714,0.7013908205841446,5043,45698,5030,2147
0.10000000000000009,0.8999999999999999,1,MAD,0.05653244213818842,0.5568552638184648,0.43569801241260114,0.7713490959666203,5546,43545,7183,1644
0.10000000000000009,0.8999999999999999,1,STD,0.09443525479599754,0.5744720612969539,0.5202527360938735,0.641307371349096,4611,46476,4252,2579
0.10000000000000009,0.8999999999999999,1.5,IQR,0.09188048542076806,0.5754676214581146,0.5173715173715173,0.6482614742698192,4661,46380,4348,2529
0.10000000000000009,0.8999999999999999,1.5,MAD,0.06635379205205078,0.5810450763960633,0.4770109811623962,0.743115438108484,5343,44870,5858,1847
0.10000000000000009,0.8999999999999999,1.5,STD,0.11666667109590775,0.5712529034021042,0.561358754027927,0.5815020862308762,4181,47461,3267,3009
0.10000000000000009,0.8999999999999999,2,IQR,0.10519699308788663,0.5711674066335858,0.5382722126507506,0.6083449235048679,4374,46976,3752,2816
0.10000000000000009,0.8999999999999999,2,MAD,0.07613646777637048,0.5861103172334953,0.4975254730713246,0.7130737134909597,5127,45550,5178,2063
0.10000000000000009,0.8999999999999999,2,STD,0.1493139101785787,0.5367552426375956,0.5889682671540123,0.49304589707927676,3545,48254,2474,3645
1.1102230246251565e-16,0.9999999999999999,0.5,IQR,0.0001844051294029273,0.5667733488507419,0.43508040500297795,0.8127955493741308,5844,43140,7588,1346
1.1102230246251565e-16,0.9999999999999999,0.5,MAD,0.00012602425076044677,0.48711978971085246,0.333641975308642,0.902086230876217,6486,37774,12954,704
1.1102230246251565e-16,0.9999999999999999,0.5,STD,0.000517529687162068,0.5740906894885776,0.5698040827510618,0.578442280945758,4159,47588,3140,3031
1.1102230246251565e-16,0.9999999999999999,1,IQR,0.0002231953149021941,0.5992281350220144,0.4918354599803694,0.7666203059805285,5512,45033,5695,1678
1.1102230246251565e-16,0.9999999999999999,1,MAD,0.00015307506673273739,0.5344737756165335,0.38852417624037366,0.8560500695410292,6155,41041,9687,1035
1.1102230246251565e-16,0.9999999999999999,1,STD,0.000828393551043929,0.5477657935285054,0.6139896373056994,0.4944367176634214,3555,48493,2235,3635
1.1102230246251565e-16,0.9999999999999999,1.5,IQR,0.0002620759296406426,0.6059522436267157,0.5176389436342136,0.7305980528511822,5253,45833,4895,1937
1.1102230246251565e-16,0.9999999999999999,1.5,MAD,0.00018054215616580444,0.5648045500554297,0.4321752600132773,0.8148817802503477,5859,43030,7698,1331
1.1102230246251565e-16,0.9999999999999999,1.5,STD,0.001188847410445422,0.502954020035962,0.6542659835152596,0.40848400556328235,2937,49176,1552,4253
1.1102230246251565e-16,0.9999999999999999,2,IQR,0.00029835506575197915,0.6018189483828223,0.53075533836184,0.6948539638386648,4996,46311,4417,2194
1.1102230246251565e-16,0.9999999999999999,2,MAD,0.0002047365378588816,0.5868114817688131,0.46710580485796627,0.7890125173852574,5673,44256,6472,1517
1.1102230246251565e-16,0.9999999999999999,2,STD,0.0014507734019670515,0.4773647736477365,0.6763580719204285,0.36884561891515993,2652,49459,1269,4538
